color,label_id,area_px,bbox_x,bbox_y,bbox_w,bbox_h,centroid_x,centroid_y
white,2,211888,415,0,545,469,690.1583666842861,247.87069583931134
white,31,197386,329,491,631,535,725.1773884672672,689.9811840758716
white,1,48408,205,0,237,485,329.83050322260783,202.11184101801356
white,22,7785,72,244,181,93,175.09993577392422,274.2937700706487
white,34,3814,266,799,40,136,287.4016780283167,864.3620870477189
red,5,8064,21,8,184,94,106.55133928571429,52.635044642857146
red,12,2508,729,911,93,36,774.9401913875598,928.6483253588517
orange,21,5259,0,291,207,57,99.86004943905685,322.00741585852825
orange,20,5055,0,92,332,67,160.94817012858556,111.25262116716122
green,30,15405,241,580,228,199,358.2049983771503,671.7078870496592
green,50,14802,60,696,164,281,144.69686528847453,815.8994054857452
green,5,3237,238,342,73,127,276.7747914735867,394.2384924312635
green,6,3231,64,362,126,152,121.65892912411019,422.2228412256267
green,11,3094,177,432,63,152,204.37136393018747,511.6296056884292
gray,186,37496,293,1009,437,183,533.6251600170685,1130.2136761254533
gray,145,5602,0,690,63,165,24.740092823991432,800.689039628704
gray,161,3801,233,779,67,162,259.4609313338595,851.2615101289134
gray,60,3621,123,163,216,87,263.6001104667219,220.3540458436896
gray,136,2309,0,613,80,93,33.66565612819402,668.2477262884365
brown,71,56404,0,1037,434,243,150.02001631089993,1168.4501808382383
brown,37,33607,0,92,334,152,145.7616270419853,156.60665932692595
brown,39,11999,0,278,208,131,81.94007833986166,328.692141011751
brown,61,11306,0,941,282,131,101.55006191402795,1009.4583407040509
black,108,60204,255,776,394,412,441.3526842070294,930.3961530795297
black,5,5808,36,208,228,39,142.25792011019283,226.22348484848484
black,23,3442,0,403,95,107,33.67751307379431,451.59151656013944
black,41,2216,298,471,94,90,328.37319494584835,514.0099277978339
